name,IUPAC_name,CAS,A,B,C,Tmin,Tmax,C-atoms,H-atoms,O-atoms,density,HoV,kind,RON,MON,SMILES,AT0,AT1,AT2,AT3,AT4,AT5,AT6,AT7,AT8,AT9,AT10,AT11,AT12,AT13,AT14,AT15,AT16,AT17
IC5H12,iso-pentane,78-78-4,7.03015,1140.45,247.012,-159.9,187.28,5,12,0,0.616,24.793,iso-paraffin,92.3,90.3,CCC(C)C,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0
IC5H11OH,3-methyl-1-butanol,123-51-3,7.05031,1170.82,149.606,-22,304.05,5,12,1,0.812,45.775,alcohol,NA,NA,CC(C)CCO,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1
NC5H11OH,1-pentanol,71-41-0,7.21775,1333.96,169.781,-27,314.95,5,12,1,0.812,43.552,alcohol,82,76,CCCCCO,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1
DMF25,2'5-dimethylfuran,625-86-5,7.05741,1265.51,210,16.7819,283.981,6,8,1,0.8833,32.171,furan,101.3,88.1,Cc1oc(C)cc1,2,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
C6H12-3,3-hexene,13269-52-8,7.05706,1263.56,235.469,-113.42,235.85,6,12,0,0.673,29.104,olefin,94,80.1,CC\\C=C\\CC,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0
C6H12-2,2-hexene,4050-45-7,7.0103,1252.84,235.52,-132.98,239.85,6,12,0,0.673,29.097,olefin,92.7,80.8,CCC\\C=C\\C,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0
C6H12-1,1-hexene,592-41-6,7.07214,1270.42,239.628,-139.76,230.88,6,12,0,0.673,28.642,olefin,76.4,63.4,CCCCC=C,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0
NC6H14,hexane,110-54-3,6.9895,1216.92,227.451,-95.31,234.28,6,14,0,0.656,29.107,paraffin,24.8,26,CCCCCC,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
C6H5CH3,toluene,108-88-3,7.1362,1457.29,231.827,-94.97,318.64,7,8,0,0.87,33.594,aromatic,120,104,Cc1ccccc1,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C6H5OCH3,methoxybenzene,100-66-3,7.32615,1674.45,223.096,-37.5,368.5,7,8,1,0.995,39.307,ether,103.3,90.5,COc1ccccc1,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
NC7H16,heptane,142-82-5,7.04605,1341.89,223.733,-90.58,267.11,7,16,0,0.684,31.731,paraffin,0,0,CCCCCCC,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
O-XYL,1'2-dimethylbenzene,95-47-6,7.14914,1566.59,222.596,-25.17,357.22,8,10,0,0.876,37.005,aromatic,120,100,Cc1ccccc1C,2,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
P-XYL,1'4-dimethylbenzene,106-42-3,7.15471,1553.95,225.23,13.26,343.11,8,10,0,0.858,35.821,aromatic,101.2,103.4,Cc1ccc(C)cc1,2,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
IC8D3,2'4'4-trimethyl-2-pentene,107-40-4,6.88636,1320.64,224.794,-106.31,284.85,8,16,0,0.717,31.927,olefin,100.3,86.2,CC(C)=CC(C)(C)C,0,1,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0
IC8D4,2'4'4-trimethyl-1-pentene,107-39-1,6.91487,1333.24,229.057,-93.45,279.85,8,16,0,0.711,30.985,olefin,100.6,86.5,CC(=C)CC(C)(C)C,0,1,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0
IC8,2'2'4-trimethylpentane,540-84-1,6.99021,1358.75,231.405,-107.37,270.81,8,18,0,0.693,31.02,iso-paraffin,100,100,CC(C)CC(C)(C)C,0,0,0,0,0,1,1,0,1,5,0,0,0,0,0,0,0,0
T135MBZ,1'3'5-trimethylbenzene,108-67-8,7.26105,1695.83,222.415,-44.69,364.21,9,12,0,0.861,39.311,aromatic,106,100.6,Cc1cc(C)cc(C)c1,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
T124MBZ,1'2'4-trimethylbenzene,95-63-6,7.29329,1763.35,230.248,-43.77,375.98,9,12,0,0.872,39.089,aromatic,110,101.4,Cc1ccc(C)c(C)c1,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
C5H11OH-2,2-methyl-1-butanol,137-32-6,7.09849,1210,158.188,-27,302.25,5,12,1,0.814,44.747,alcohol,102,87.9,CCC(C)CO,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1
CPT,cyclopentane,287-92-3,7.04267,1202.53,239.69,-93.84,238.61,5,10,0,0.75,27.259,naphthene,100.1,84.9,C1CCCC1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
C7H16-2,2-methylhexane,591-76-4,7.05832,1340.21,230.768,-118.25,257.22,7,16,0,0.674,31.165,iso-paraffin,42.4,46.4,CCCCC(C)C,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0
C6H5C2H5,ethylbenzene,100-41-4,7.1561,1559.55,228.582,-94.95,344.02,8,10,0,0.865,35.915,aromatic,NA,NA,CCc1ccccc1,1,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
